,SURF: Hole 3A ,WE1: -190 mV,WE2: 10 mV,WE3: 260 mV,WE4: 530 mV
Unclassified Burkholderiales,0.0427340839,0.1444245568,0.5461642275,0.776144201,1
Unclassified Betaproteobacteria,0.2361415695,0.0922361508,0.5284636557,0.6898237907,1
Desulfobulbaceae,1,0.0024152043,0.0044548658,0.0084519579,0.0112941754
Methylococcaceae,0.6897652567,0.1542318961,0.370457821,0.7151137126,1
