,SURF: Hole 3A ,WE1: -190 mV,WE2: 10 mV,WE3: 260 mV,WE4: 530 mV
Bradyrhizobiaceae,0.003930527,0.2137069996,0.8565931475,1,0.6859405895
Hyphomicrobiaceae,0.0330263508,0.8288406989,0.9339983134,1,0.900567627
Unclassified Alphaproteobacteria,0.2048412116,0.4410806102,0.778866554,1,0.7927382147
Sinobacteraceae,0.2060225045,0.6072331747,0.6993958513,1,0.2401126668
